PlantID,Treatment,T1_strain,T2_strain,Block,Leaf1,Leaf2,Leaf3,Leaf4,Dead1,Dead2,Dead3,Dead4,ExtraNN,Notes,Pink_nod_num,White_nod_num,Total_nod_num,Proportion_pink_count,Proportion_pink,Above_biomass,Leaf4attached,LeafWeightAprox
141,BN,B,N,2,1,1,1,1,0,1,1,1,0,0,NA,NA,NA,NA,NA,,,
142,NG,N,G,2,2,3,4,7,0,0,0,0,0,0,8,0,8,1,1,0.0227,,
143,BG,B,G,2,1,2,2,4,0,0,0,0,0,0,0,2,2,0,0,0.0026,1,0.0026
144,NB,N,B,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
145,NN,N,N,2,2,3,4,7,0,0,0,0,0,0,18,0,18,1,1,0.0309,6,0.00515
146,GG,G,G,2,2,2,4,5,0,0,0,0,0,0,5,0,5,1,1,0.0063,4,0.001575
147,NB,N,B,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
148,NB,N,B,2,2,2,3,4,0,0,0,0,0,0,0,2,2,0,0,0.005,2,0.0025
149,GN,G,N,2,2,3,4,7,0,0,0,0,0,0,6,0,6,1,1,0.0148,3,0.004933333
150,BN,B,N,2,2,3,4,6,0,0,0,0,0,0,10,5,15,  2/3 ,0.666666667,0.0111,4,0.002775
151,BB,B,B,2,2,3,4,5,0,0,0,0,0,0,2,1,3,  2/3 ,0.666666667,0.0092,2,0.0046
152,GN,G,N,2,2,2,3,4,0,0,0,0,0,0,4,0,4,1,1,0.0046,2,0.0023
153,NN,N,N,2,2,2,4,6,0,0,0,0,1,0,1,0,1,1,1,0.0199,6,0.003316667
154,BG,B,G,2,2,3,4,6,0,0,0,0,0,0,16,9,25, 16/25,0.64,0.0084,3,0.0028
155,NG,N,G,2,2,3,3,5,0,0,0,0,0,0,4,0,4,1,1,0.0061,3,0.002033333
156,BG,B,G,2,2,2,4,6,0,0,0,0,0,0,2,4,6,  1/3 ,0.333333333,0.0135,4,0.003375
157,NG,N,G,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
158,GN,G,N,2,1,2,3,4,0,0,0,0,0,0,4,0,4,1,1,0.0044,3,0.001466667
159,NN,N,N,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
160,GB,G,B,2,2,2,4,6,0,0,0,0,0,0,7,2,9,  7/9 ,0.777777778,0.0299,5,0.00598
161,NN,N,N,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
162,GN,G,N,2,2,2,2,2,0,1,1,1,0,0,NA,NA,NA,NA,NA,,,
163,NB,N,B,2,2,2,2,5,0,0,0,0,0,0,3,2,5,  3/5 ,0.6,0.0058,2,0.0029
164,BB,B,B,2,2,3,4,6,0,0,0,0,0,0,5,1,6,  5/6 ,0.833333333,0.0206,5,0.00412
165,GG,G,G,2,2,3,4,4,0,0,0,1,0,HERBIVORY,7,0,7,1,1,,,
166,BG,B,G,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
167,NG,N,G,2,2,3,5,8,0,0,0,0,0,"herbivory, no leaves",15,0,15,1,1,0.013,0,
168,BG,B,G,2,2,2,2,4,0,0,0,0,0,0,13,8,21, 13/21,0.619047619,0.0025,3,0.000833333
169,GN,G,N,2,2,2,2,2,0,1,1,1,0,0,2,0,2,1,1,,,
170,GG,G,G,2,2,3,5,7,0,0,0,0,0,0,7,0,7,1,1,0.011,1,0.011
171,NG,N,G,2,2,2,2,3,0,0,0,0,0,0,1,0,1,1,1,0.0001,1,0.0001
172,BB,B,B,2,2,3,4,6,0,0,0,0,0,0,23,12,35, 23/35,0.657142857,0.011,2,0.0055
173,BN,B,N,2,2,3,4,5,0,0,0,0,0,0,9,15,24,  3/8 ,0.375,0.0098,4,0.00245
174,GG,G,G,2,2,3,4,5,0,0,0,0,0,0,6,0,6,1,1,0.0072,3,0.0024
175,GG,G,G,2,2,3,4,6,0,0,0,0,0,0,9,0,9,1,1,0.0275,6,0.004583333
176,NG,N,G,2,2,3,5,7,0,0,0,0,0,0,11,0,11,1,1,0.0234,4,0.00585
177,BN,B,N,2,2,3,4,6,0,0,0,0,0,0,11,28,39, 11/39,0.282051282,0.0126,4,0.00315
178,BG,B,G,2,1,1,1,1,0,1,1,1,0,0,NA,NA,NA,NA,NA,,,
179,GG,G,G,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
180,NN,N,N,2,2,3,4,6,0,0,0,0,0,0,6,0,6,1,1,0.0114,5,0.00228
181,GB,G,B,2,2,3,4,8,0,0,0,0,0,0,26,4,30, 13/15,0.866666667,0.0348,8,0.00435
182,NB,N,B,2,1,2,3,5,0,0,0,0,0,0,3,6,9,  1/3 ,0.333333333,0.0066,2,0.0033
183,BG,B,G,2,2,2,2,2,0,0,1,1,0,0,NA,NA,NA,NA,NA,,,
184,NN,N,N,2,0,0,0,0,1,1,1,1,1,0,NA,NA,NA,NA,NA,,,
185,GN,G,N,2,2,2,3,4,0,0,0,0,0,0,3,0,3,1,1,0.006,2,0.003
186,GB,G,B,2,2,3,4,6,0,0,0,0,0,0,17,12,29, 17/29,0.586206897,0.0105,2,0.00525
187,NB,N,B,2,2,2,3,3,0,0,0,0,0,0,1,4,5,  1/5 ,0.2,0.0017,2,0.00085
188,NN,N,N,2,2,3,4,6,0,0,0,0,0,0,4,0,4,1,1,0.0144,5,0.00288
189,BN,B,N,2,2,2,2,2,0,0,1,1,0,0,NA,NA,NA,NA,NA,,,
190,BN,B,N,2,1,2,3,4,0,0,0,0,0,0,4,2,6,  2/3 ,0.666666667,0.0061,3,0.002033333
191,NN,N,N,2,2,3,3,6,0,0,0,0,0,0,12,0,12,1,1,0.0153,5,0.00306
192,BG,B,G,2,2,3,3,3,0,0,1,1,0,0,2,4,6,  1/3 ,0.333333333,0.0022,0,
193,GB,G,B,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
194,NG,N,G,2,2,3,3,4,0,0,0,0,0,0,1,0,1,1,1,0.0045,1,0.0045
195,BG,B,G,2,2,3,3,5,0,0,0,0,0,0,4,8,12,  1/3 ,0.333333333,0.0127,4,0.003175
196,BN,B,N,2,1,2,4,6,0,0,0,0,0,0,3,10,13,  3/13,0.230769231,0.0105,2,0.00525
197,NB,N,B,2,2,3,4,6,0,0,0,0,0,0,3,4,7,  3/7 ,0.428571429,0.0197,5,0.00394
198,NB,N,B,2,2,2,2,3,0,0,0,0,0,0,0,4,4,0,0,0.0091,2,0.00455
199,BB,B,B,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
200,GG,G,G,2,2,3,3,3,0,0,1,1,0,0,NA,NA,NA,NA,NA,,,
201,NG,N,G,2,2,3,4,7,0,0,0,0,0,0,17,0,17,1,1,0.0268,4,0.0067
202,BB,B,B,2,2,3,4,7,0,0,0,0,0,0,0,3,3,0,0,0.0232,5,0.00464
203,BG,B,G,2,0,2,2,4,0,0,0,0,0,0,2,1,3,  2/3 ,0.666666667,0.0035,3,0.001166667
204,BB,B,B,2,2,3,4,6,0,0,0,0,0,0,9,9,18,  1/2 ,0.5,0.0166,5,0.00332
205,GG,G,G,2,2,3,4,6,0,0,0,0,0,0,8,0,8,1,1,0.0093,4,0.002325
206,NG,N,G,2,2,3,4,6,0,0,0,0,0,0,9,0,9,1,1,0.0102,0,
207,BG,B,G,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
208,NN,N,N,2,0,0,0,0,1,1,1,1,0,0,0,0,0,NA,NA,,,
209,GB,G,B,2,2,3,5,12,0,0,0,0,0,0,17,0,17,1,1,0.0344,11,0.003127273
210,GN,G,N,2,2,3,4,5,0,0,0,0,0,0,9,0,9,1,1,0.0078,2,0.0039
211,NN,N,N,2,0,0,0,0,1,1,1,1,1,0,NA,NA,NA,NA,NA,,,
212,NB,N,B,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
213,BN,B,N,2,2,2,2,3,0,0,0,0,0,0,1,6,7,  1/7 ,0.142857143,0.0037,2,0.00185
214,GG,G,G,2,2,3,5,6,0,0,0,0,0,0,7,0,7,1,1,0.0193,5,0.00386
215,GB,G,B,2,1,2,3,6,0,0,0,0,0,0,9,1,10,  9/10,0.9,0.0144,4,0.0036
216,GG,G,G,2,2,3,5,6,0,0,0,0,0,0,6,0,6,1,1,0.0133,3,0.004433333
217,NG,N,G,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
218,GB,G,B,2,2,3,5,8,0,0,0,0,0,0,11,0,11,1,1,0.0159,2,0.00795
219,NG,N,G,2,2,2,3,5,0,0,0,0,0,0,7,0,7,1,1,0.0149,4,0.003725
220,GN,G,N,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
221,GB,G,B,2,2,3,4,6,0,0,0,0,0,0,8,4,12,  2/3 ,0.666666667,0.0181,4,0.004525
222,NN,N,N,2,2,2,3,5,0,0,0,0,1,0,1,0,1,1,1,0.0061,5,0.00122
223,BN,B,N,2,2,2,4,5,0,0,0,0,0,0,4,12,16,  1/4 ,0.25,0.0103,4,0.002575
224,BG,B,G,2,2,2,2,2,0,0,1,1,0,HERBIVORY,2,2,4,  1/2 ,0.5,,,
225,NG,N,G,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
226,BN,B,N,2,2,3,4,5,0,0,0,0,0,0,4,19,23,  4/23,0.173913044,0.0113,3,0.003766667
227,NN,N,N,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
228,GB,G,B,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
229,BB,B,B,2,2,3,4,4,0,0,0,0,0,0,0,19,19,0,0,0.0064,2,0.0032
230,NN,N,N,2,2,2,2,2,0,1,1,1,0,0,NA,NA,NA,NA,NA,,,
231,NG,N,G,2,2,3,4,4,0,0,0,0,0,0,1,0,1,1,1,0.0039,1,0.0039
232,BN,B,N,2,2,3,4,5,0,0,0,0,0,0,9,11,20,  9/20,0.45,0.0058,2,0.0029
233,GB,G,B,2,2,3,5,7,0,0,0,0,0,0,6,0,6,1,1,0.0149,3,0.004966667
234,BB,B,B,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
235,BN,B,N,2,2,3,3,3,0,0,0,0,0,0,2,5,7,  2/7 ,0.285714286,0.005,1,0.005
236,BG,B,G,2,2,3,4,6,0,0,0,0,0,0,9,5,14,  9/14,0.642857143,0.0112,5,0.00224
237,GN,G,N,2,2,3,5,7,0,0,0,0,0,0,6,0,6,1,1,0.0198,3,0.0066
238,NG,N,G,2,2,3,3,5,0,0,0,0,0,0,7,0,7,1,1,0.0115,4,0.002875
239,BB,B,B,2,2,3,3,5,0,0,0,0,0,0,3,3,6,  1/2 ,0.5,0.0074,3,0.002466667
240,GG,G,G,2,2,3,4,6,0,0,0,0,0,0,10,0,10,1,1,0.0146,4,0.00365
241,BN,B,N,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
242,NB,N,B,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
243,GG,G,G,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
244,NN,N,N,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
245,NN,N,N,2,1,2,3,4,0,0,0,0,0,0,0,0,0,NA,NA,0.004,2,0.002
246,BG,B,G,2,2,3,4,5,0,0,0,0,0,0,11,18,29, 11/29,0.379310345,0.0118,3,0.003933333
247,GG,G,G,2,2,3,4,5,0,0,0,0,0,0,9,0,9,1,1,0.0144,4,0.0036
248,GN,G,N,2,0,0,0,0,1,1,1,1,0,COLONIZER PRESENT,NA,NA,NA,NA,NA,,,
249,BG,B,G,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
250,NB,N,B,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
251,GN,G,N,2,2,2,4,9,0,0,0,0,0,0,8,0,8,1,1,0.0419,8,0.0052375
252,GB,G,B,2,2,3,4,6,0,0,0,0,0,0,3,2,5,  3/5 ,0.6,0.013,3,0.004333333
253,GN,G,N,2,2,3,4,7,0,0,0,0,0,0,12,0,12,1,1,0.0249,6,0.00415
254,NG,N,G,2,2,3,3,5,0,0,0,0,0,0,7,0,7,1,1,0.0123,3,0.0041
255,NG,N,G,2,2,2,3,NA,0,0,0,NA,0,MISPLACED?,NA,NA,NA,NA,NA,,,
256,GB,G,B,2,2,3,4,6,0,0,0,0,0,herbivory,4,0,4,1,1,0.0061,1,0.0061
257,NB,N,B,2,2,4,5,8,0,0,0,0,0,HUGE RED NODULE,30,3,33, 10/11,0.909090909,0.0281,6,0.004683333
258,NN,N,N,2,2,3,4,7,0,0,0,0,1,0,3,0,3,1,1,0.0107,2,0.00535
259,GB,G,B,2,2,3,5,7,0,0,0,0,0,0,15,4,19, 15/19,0.789473684,0.0162,1,0.0162
260,NN,N,N,2,2,2,4,4,0,0,0,0,0,0,0,0,0,NA,NA,0.0075,2,0.00375
261,GB,G,B,2,2,3,3,6,0,0,0,0,0,0,3,3,6,  1/2 ,0.5,0.0056,5,0.00112
262,GN,G,N,2,2,3,5,10,0,0,0,0,0,0,20,0,20,1,1,0.06,10,0.006
263,BB,B,B,2,2,2,2,2,0,1,1,1,0,0,NA,NA,NA,NA,NA,,,
264,NN,N,N,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
265,BN,B,N,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
266,GB,G,B,2,2,3,4,4,0,0,0,0,0,0,10,1,11, 10/11,0.909090909,0.0045,2,0.00225
267,GN,G,N,2,2,3,3,3,0,0,0,0,0,0,5,0,5,1,1,0.0042,2,0.0021
268,NN,N,N,2,2,2,2,3,0,0,0,0,0,0,0,0,0,NA,NA,0.0013,2,0.00065
269,GG,G,G,2,2,3,4,5,0,0,0,0,0,0,2,0,2,1,1,0.0096,4,0.0024
270,BB,B,B,2,2,2,2,2,0,1,1,1,0,0,NA,NA,NA,NA,NA,,,
271,BB,B,B,2,2,3,3,6,0,0,0,0,0,0,7,23,30,  7/30,0.233333333,0.0073,2,0.00365
272,NB,N,B,2,2,2,2,2,0,1,1,1,0,0,NA,NA,NA,NA,NA,,,
273,BN,B,N,2,0,2,3,5,0,0,0,0,0,POSSIBLY COLONIZER,11,14,25, 11/25,0.44,0.0126,5,0.00252
274,BB,B,B,2,2,2,2,2,0,0,1,1,0,0,NA,NA,NA,NA,NA,,,
275,GN,G,N,2,2,2,5,7,0,0,0,0,0,0,10,0,10,1,1,0.0263,7,0.003757143
276,BB,B,B,2,2,3,3,3,0,0,1,1,0,0,0,0,0,NA,NA,,,
277,NB,N,B,2,1,1,1,1,0,1,1,1,0,0,NA,NA,NA,NA,NA,,,
278,GG,G,G,2,2,2,2,2,0,0,1,1,0,0,NA,NA,NA,NA,NA,,,
279,BB,B,B,2,2,3,4,5,0,0,0,0,0,0,2,2,4,  1/2 ,0.5,0.0093,4,0.002325
280,NB,N,B,2,2,2,2,2,0,0,0,1,0,0,0,0,0,NA,NA,0.0001,0,
